scanned sheet;ID;plant;position;morph;genotype;Fam;Rep;petioleLength;bladeLength;bladeWidth;bladeArea;bladePerimeter;bladeCircularity;perimeter_area;blade_petiole
40;469;4;10;P-;M28;27;6;154.0;370.1;223.5;64965;1432;0.398;0.022042638;2.403781207
40;470;4;11;P-;M28;27;6;143.8;293.8;158.8;36646;1124;0.365;0.030671833;2.043021744
3;30;2;6;P+;PH3;28;1;289.1;664.7;524.1;273607;3106;0.356;0.011352049;2.299281561
3;28;2;4;P+;PH3;28;1;196.0;674.4;438.9;232461;2970;0.331;0.012776337;3.440465076
3;29;2;5;P+;PH3;28;1;127.1;569.2;388.9;173853;2568;0.331;0.0147711;4.479739673
15;166;1;1;P-;AH5;29;3;261.5;618.9;385.9;187605;2420;0.403;0.012899443;2.366402465
15;168;1;3;P-;AH5;29;3;230.2;558.8;340.4;149399;2232;0.377;0.014939859;2.427190792
28;320;1;2;P-;AH7;29;7;441.7;671.4;386.6;203895;2514;0.405;0.012329876;1.520040477
28;319;1;1;P-;AH7;29;7;478.2;713.8;375.1;210316;2616;0.386;0.012438426;1.492542588
28;321;1;3;P-;AH7;29;7;214.4;649.1;345.8;176281;2380;0.391;0.013501171;3.027243687
1;10;4;10;P-;M28;30;1;189.3;423.5;267.7;89042;1670;0.401;0.018755194;2.236988052
1;11;4;11;P-;M28;30;1;193.4;411.2;253.0;81708;1632;0.386;0.019973564;2.125986776
1;12;4;12;P-;M28;30;1;191.0;481.1;229.7;86802;1820;0.329;0.020967259;2.518259713
36;420;2;6;P+;PH3;30;6;105.8;500.2;412.7;162136;2368;0.363;0.014605023;4.728009981
36;418;2;4;P+;PH3;30;6;159.5;508.7;419.2;167495;2528;0.329;0.015092988;3.188696868
36;419;2;5;P+;PH3;30;6;85.8;538.2;381.9;161414;2496;0.326;0.015463343;6.269176558
37;437;4;11;P-;M28;30;9;238.8;743.3;450.0;262695;2938;0.382;0.011184073;3.113091773
37;436;4;10;P-;M28;30;9;291.4;693.3;458.0;249384;3020;0.344;0.012109839;2.379121973
37;438;4;12;P-;M28;30;9;174.4;669.0;373.3;196143;2600;0.365;0.013255635;3.836759156
21;241;2;4;P-;AH5;31;4;131.4;652.9;386.2;198035;2750;0.329;0.013886434;4.970765131
21;242;2;5;P-;AH5;31;4;209.5;655.4;365.7;188257;2692;0.326;0.014299601;3.127704047
21;243;2;6;P-;AH5;31;4;180.8;584.5;253.5;116382;2158;0.314;0.018542386;3.231977262
21;238;1;1;P-;AH6;31;4;200.5;619.0;423.5;205867;2606;0.381;0.012658658;3.087455733
21;239;1;2;P-;AH6;31;4;126.8;545.8;314.6;134868;2116;0.379;0.015689415;4.306280719
21;240;1;3;P-;AH6;31;4;116.1;465.6;251.1;91834;1736;0.383;0.018903674;4.009955219
15;174;3;9;P+;PH2;31;4;174.8;624.1;393.3;192792;2762;0.318;0.014326321;3.569670936
15;173;3;8;P+;PH2;31;4;203.1;549.1;410.9;177199;2610;0.327;0.014729203;2.703236764
